Node,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality
@friedXchicken,0.01282051282051282,0.0,0.0,0.0001440986022883979
NAVI,0.3717948717948718,0.3717948717948718,0.0,0.5977210022922745
@shi-t,0.01282051282051282,0.0,0.0,0.0001440986022883979
@Reggage,0.01282051282051282,0.0,0.0,0.0001440986022883979
@naivelle,0.01282051282051282,0.0,0.0,0.0001440986022883979
@beginning252,0.01282051282051282,0.0,0.0,0.0001440986022883979
@xnotz,0.01282051282051282,0.0,0.0,0.0001440986022883979
@bulletclash9188,0.01282051282051282,0.0,0.0,0.0001440986022883979
@kristinavitug6466,0.01282051282051282,0.0,0.0,0.0001440986022883979
@tinuwu_1,0.01282051282051282,0.0,0.0,0.0001440986022883979
EVOS,0.48717948717948717,0.48717948717948717,0.0,0.783175903437443
@Taletales14,0.01282051282051282,0.0,0.0,0.0001440986022883979
@thestorytellerpeter,0.01282051282051282,0.0,0.0,0.0001440986022883979
@Patrioticpinoy12,0.01282051282051282,0.0,0.0,0.0001440986022883979
@JoyTania,0.01282051282051282,0.0,0.0,0.0001440986022883979
@RomyRafael-i3v,0.01282051282051282,0.0,0.0,0.0001440986022883979
@yutarotanaka6853,0.01282051282051282,0.0,0.0,0.0001440986022883979
@trendy778,0.01282051282051282,0.0,0.0,0.0001440986022883979
@bamzbamz7008,0.01282051282051282,0.0,0.0,0.0001440986022883979
@MuhAbdurrosyid,0.01282051282051282,0.0,0.0,0.0001440986022883979
@3lk4nu,0.01282051282051282,0.0,0.0,0.0001440986022883979
@sutrisno265,0.01282051282051282,0.0,0.0,0.0001440986022883979
@kelvinpramana7900,0.01282051282051282,0.0,0.0,0.0001440986022883979
@diaandikaputra3058,0.01282051282051282,0.0,0.0,0.0001440986022883979
@BayuPratama-w2k,0.01282051282051282,0.0,0.0,0.0001440986022883979
@cbsreinforce509,0.01282051282051282,0.0,0.0,0.0001440986022883979
@muhammadbarulizza1626,0.01282051282051282,0.0,0.0,0.0001440986022883979
@Ky-ts3mv,0.01282051282051282,0.0,0.0,0.0001440986022883979
@gazelleYT30,0.01282051282051282,0.0,0.0,0.0001440986022883979
@CobaDulu-b4m,0.01282051282051282,0.0,0.0,0.0001440986022883979
@avivraka7507,0.01282051282051282,0.0,0.0,0.0001440986022883979
@HilalGhufran-rc5wo,0.01282051282051282,0.0,0.0,0.0001440986022883979
@CyanWolfer,0.02564102564102564,0.0,0.0,0.0001440986022883979
@bilalofficial1115,0.01282051282051282,0.0,0.0,0.0001440986022883979
@Mamadowskii,0.01282051282051282,0.0,0.0,0.0001440986022883979
@ruben7haloho867,0.01282051282051282,0.0,0.0,0.0001440986022883979
@hdw.edt56,0.01282051282051282,0.0,0.0,0.0001440986022883979
@Biieishere,0.01282051282051282,0.0,0.0,0.0001440986022883979
@dan.booru2430,0.038461538461538464,0.0,0.0,0.0001440986022883979
Dewa United Esports,0.01282051282051282,0.01282051282051282,0.0,0.020750198729529306
@Abletobeable,0.01282051282051282,0.0,0.0,0.0001440986022883979
@babydiablo,0.01282051282051282,0.0,0.0,0.0001440986022883979
@ff.dias8973,0.01282051282051282,0.0,0.0,0.0001440986022883979
@aseumodii,0.01282051282051282,0.0,0.0,0.0001440986022883979
@oni1386,0.01282051282051282,0.0,0.0,0.0001440986022883979
@anurodhrai6439,0.01282051282051282,0.0,0.0,0.0001440986022883979
@pengrajindatar,0.01282051282051282,0.0,0.0,0.0001440986022883979
@先導アイチ16,0.01282051282051282,0.0,0.0,0.0001440986022883979
@augustovaca2328,0.02564102564102564,0.0,0.0,0.0001440986022883979
@draugytiruces2074,0.01282051282051282,0.0,0.0,0.0001440986022883979
@dtritandi478,0.01282051282051282,0.0,0.0,0.0001440986022883979
@hildayonariza9576,0.01282051282051282,0.0,0.0,0.0001440986022883979
RRQ Hoshi,0.02564102564102564,0.02564102564102564,0.0,0.041356298856770154
@sandiprayoga2082,0.01282051282051282,0.0,0.0,0.0001440986022883979
@LeoXwell,0.01282051282051282,0.0,0.0,0.0001440986022883979
@RatnaShofi,0.01282051282051282,0.0,0.0,0.0001440986022883979
@WildaDiniRiastuti,0.01282051282051282,0.0,0.0,0.0001440986022883979
@raihanhan-n9m,0.01282051282051282,0.0,0.0,0.0001440986022883979
@Ayevhasanmusic,0.01282051282051282,0.0,0.0,0.0001440986022883979
@teguhsantoso9820,0.01282051282051282,0.0,0.0,0.0001440986022883979
@juangaming8002,0.01282051282051282,0.0,0.0,0.0001440986022883979
@renomarcell1136,0.01282051282051282,0.0,0.0,0.0001440986022883979
@AshKechup-w8h,0.01282051282051282,0.0,0.0,0.0001440986022883979
@fitrianurulazizahyusuf1907,0.01282051282051282,0.0,0.0,0.0001440986022883979
Alter Ego,0.10256410256410256,0.10256410256410256,0.0,0.1649928996202165
@hellodap11,0.01282051282051282,0.0,0.0,0.0001440986022883979
@user-lk1bd2ug8n,0.01282051282051282,0.0,0.0,0.0001440986022883979
@uiiaiiuuiiaa,0.01282051282051282,0.0,0.0,0.0001440986022883979
@ujlyln,0.01282051282051282,0.0,0.0,0.0001440986022883979
@SPORTVIDEO77,0.01282051282051282,0.0,0.0,0.0001440986022883979
@Alisa-sn7hp,0.01282051282051282,0.0,0.0,0.0001440986022883979
@erdinherdiansyah5233,0.01282051282051282,0.0,0.0,0.0001440986022883979
@TjandraJhon,0.01282051282051282,0.0,0.0,0.0001440986022883979
@SirPenitent,0.01282051282051282,0.0,0.0,0.0001440986022883979
@ramoskun0602,0.01282051282051282,0.0,0.0,0.0001440986022883979
@jayamengkarakulusetra,0.01282051282051282,0.0,0.0,0.0001440986022883979
@NyawitDuaPeriode,0.01282051282051282,0.0,0.0,0.0001440986022883979
@yourbetadine,0.01282051282051282,0.0,0.0,0.0001440986022883979
@Rizz_stecuu1,0.01282051282051282,0.0,0.0,0.0001440986022883979
